household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,coupon_dependency,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,Campaigns_Last_30D,Days_Since_Last_Camp,has_demographic_info,Primary_Store_ID
1494,0,78,2347.78,1.6976497,576,3,0.005208333333333333,0.4922813036020583,0.01282051117685754,13.371793157462415,0.00042593427,0.8009564444525639,0.3691699604743083,0.5027711757500303,0.13301662602520486,0.9999999999999992,3.0,1.0,0.0,0.0,64.0,1,313
1495,0,153,1608.96,1.2632462,574,4,0.006968641114982578,0.891566265060241,0.0,6.843136807638117,0.0,0.7364950317297513,0.4429065743944637,0.3544194076740086,0.10311958316187536,-0.5000000000000021,1.0,0.0,0.0,0.0,64.0,0,31642
1496,0,11,699.69,2.1787813,553,90,0.3092224231464738,0.1125,0.1818180165290759,22.454525041340872,0.0057168175,1.0330357610308796,0.14501510574018128,0.4741641193263186,0.17021276078380668,0.0,0.0,0.0,0.0,0.0,651.0,0,311
1497,0,8,481.49,3.5104563,556,55,0.09892086330935251,0.08703374777975133,0.0,15.624980468774416,0.0,1.1486256955717131,0.1292517006802721,0.4137930749108224,0.17241378121284268,-0.5000000000000002,0.0,0.0,0.0,0.0,651.0,0,396
1498,0,25,919.48,2.6220214,572,38,0.06643356643356643,0.27806563039723664,0.1199999520000192,13.079994768002093,0.0019576282,0.7783648326197466,0.13333333333333333,0.4226804014773093,0.15206185175098322,-0.5000000000000003,0.0,0.0,0.0,0.0,651.0,0,443
1499,0,81,1870.4,3.3512442,547,10,0.018281535648994516,0.6696750902527077,0.04938270995275185,6.358023906416801,0.0062820786,0.8722172948860951,0.17990074441687345,0.526119396441301,0.20771144020259402,-1.0000000000000002,1.0,0.0,0.0,0.0,239.0,1,304
15,0,40,799.17,3.161962,629,7,0.011128775834658187,0.2641509433962264,0.02499999375000156,6.649998337500415,0.0031282457,1.5761841288342102,0.32653061224489793,0.4641025522024987,0.14615384240631174,-2.000000000000001,0.0,0.0,0.0,0.0,651.0,0,402
150,0,6,230.35,2.0866075,566,43,0.07597173144876325,0.06108202443280977,0.0,11.499980833365278,0.0,0.3900010908503241,0.4158415841584158,0.5555554994388384,0.18181816345271076,0.0,0.0,0.0,0.0,0.0,651.0,0,311
1500,0,49,847.99,3.7072768,538,11,0.020446096654275093,0.3082568807339449,0.020408159100375693,5.4081621615995585,0.0005896296,1.7219925530212536,0.16770186335403728,0.6249999804687506,0.13124999589843764,-2.000000000000001,0.0,0.0,0.0,0.0,651.0,0,365
1501,1,135,5663.7,2.403471,559,3,0.005366726296958855,0.8409893992932862,0.007407406858710603,14.807406310562495,0.00017656301,0.775449258438004,0.2667814113597246,0.45478035979853415,0.13307493482741198,1.999999999999999,3.0,1.0,0.0,1.0,5.0,0,432
1502,0,44,1970.19,3.1371527,617,27,0.04376012965964344,0.4150641025641026,0.06818180268595393,16.181814504133065,0.0011674002,1.0514015774165484,0.2784019975031211,0.5106382914813731,0.12390487955062729,0.5000000000000001,3.0,1.0,0.0,0.0,239.0,0,338
1503,0,15,104.22,1.2793493,600,4,0.006666666666666667,0.1499176276771005,0.0,3.199997866668089,0.0,1.677660277477998,0.40540540540540543,0.44444438271605796,0.06944443479938406,0.4999999999999997,0.0,0.0,0.0,0.0,651.0,0,370
1504,1,3,66.33,17.898272,573,90,0.7923211169284468,0.036206896551724134,0.0,2.333325555581481,0.0,0.6060914248672215,0.09090909090909091,0.666665925926749,0.11111098765445816,0.0,0.0,0.0,0.0,0.0,651.0,0,427
