household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,Discount_Per_Transaction,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,has_demographic_info,Primary_Store_ID,future_revenue_60d,discounted_future_revenue_60d,future_txn_count_60d,first_future_day,last_future_day,future_active_flag,annual_discount_rate,value_horizon_start_day,value_horizon_end_day
2228,0,174,4649.09,3.3664544,604,90,0.2483443708609271,0.6644844517184942,0.0057471264367816,7.270114942528735,0.002011494218618,3.4135338345864663,3.90246196485041,1.143228900508077,0.3437849944008959,0.5639013421305978,0.1575112098794214,0.0,6.0,0.0,64.0,5.0,1.0,0.0,0,362,68.96,68.47960297051618,22.0,664.0,700.0,1,0.08,651,711
2229,0,45,1692.05,2.5122669,558,5,0.0089605734767025,0.3592920353982301,0.0222222222222222,13.066666666666666,0.0222222222222222,12.86046511627907,16.023169823948297,1.2459236287208255,0.2426367461430575,0.5471167292951233,0.1448663833352126,1.4999999999999991,0.0,0.0,651.0,0.0,0.0,0.0,0,292,723.44,719.1702474210731,287.0,651.0,707.0,1,0.08,651,711
223,0,104,2518.24,3.637994,640,2,0.003125,0.6058732612055642,0.0,6.788461538461538,0.0,7.010989010989011,8.205004577823226,1.170304626339661,0.3280815569972196,0.6341689820411422,0.207056636888982,0.4999999999999998,4.0,0.0,36.0,2.0,0.0,2.0,0,445,113.38,112.90471784658904,47.0,654.0,698.0,1,0.08,651,711
2230,0,36,1107.23,2.2212853,537,22,0.0409683426443202,0.3216911764705882,0.0,10.61111111111111,0.0,17.166666666666668,19.087969371115506,1.1119198981698946,0.1792656587473002,0.4577006408307887,0.0824294992965401,-0.5000000000000004,1.0,0.0,90.0,0.0,1.0,0.0,0,381,88.42,88.32493668458856,25.0,656.0,662.0,1,0.08,651,711
2231,0,81,3715.07,4.558497,636,14,0.0220125786163522,0.5552099533437014,0.2098765432098765,15.11111111111111,0.936790183738426,8.520547945205479,7.815777470819123,0.9172847037812898,0.2372994652406417,0.3186077622583148,0.068273091912496,-0.5000000000000009,3.0,0.0,48.0,2.0,1.0,0.0,1,367,561.27,557.5078414405874,133.0,659.0,704.0,1,0.08,651,711
2232,0,29,912.73,3.7194054,599,14,0.023372287145242,0.2656765676567656,0.0344827586206896,10.310344827586206,0.7358620742271686,20.892857142857142,19.556829413777088,0.9360529256255372,0.2926829268292683,0.7461024332716608,0.4966592317002398,-1.7803175061665248e-16,0.0,0.0,651.0,0.0,0.0,0.0,0,443,137.81,137.0095399011395,33.0,655.0,710.0,1,0.08,651,711
2233,0,213,6563.68,2.7025821,585,2,0.0034188034188034,0.9341216216216216,0.056338028169014,11.215962441314554,0.0823943626153077,3.068421052631579,2.320954153266501,0.7563976877616269,0.1663043478260869,0.4097171848813735,0.085569252771685,0.9999999999999984,11.0,2.0,5.0,4.0,6.0,1.0,1,369,568.99,564.8017356568135,197.0,656.0,709.0,1,0.08,651,711
2234,0,143,6273.2,3.2572675,592,2,0.0033783783783783,0.8530884808013356,0.0489510489510489,11.587412587412588,0.0398601385263296,4.27536231884058,5.901587211894076,1.3803680175144375,0.1724444444444444,0.3976868309711439,0.1935053372175029,1.999999999999999,4.0,1.0,27.0,2.0,1.0,1.0,1,316,822.89,817.3568497154785,212.0,651.0,710.0,1,0.08,651,711
2235,0,75,3168.86,6.0498576,544,4,0.0073529411764705,0.5462794918330309,0.0133333333333333,10.2,0.0106666668256123,7.826086956521739,11.606231239319794,1.4830165411697267,0.1353944562899786,0.4423076875821828,0.1292735028923771,-2.500000000000003,5.0,1.0,27.0,2.0,2.0,1.0,1,375,256.1,254.2086400203215,55.0,652.0,705.0,1,0.08,651,711
2236,1,193,2347.24,2.822023,539,16,0.0296846011131725,0.8589743589743589,0.0103626943005181,4.367875647668394,0.0244559599327917,3.208588957055215,3.244090520517176,1.0110613897021692,0.1875607385811467,0.6046738013176846,0.1333982460233861,-1.5000000000000009,6.0,1.0,27.0,3.0,3.0,0.0,0,448,21.15,21.058735168829262,11.0,652.0,688.0,1,0.08,651,711
