model,rank_test_score,mean_cv_PR_AUC,std_cv_PR_AUC,params
XGBoost weighted,11,0.34998198201107344,0.046882452081258554,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,12,0.34991468712536,0.0615017167899069,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 50, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.85}"
XGBoost weighted,13,0.3498791552784997,0.058442472723584576,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}"
XGBoost weighted,14,0.3495648934286387,0.037087943924559615,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 1.0}"
XGBoost weighted,15,0.34906889201693214,0.050832342767055276,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}"
XGBoost weighted,16,0.34843827032761615,0.05154497281938644,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0}"
XGBoost weighted,17,0.3470687410797761,0.03826046065093024,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 50, ""model__reg_lambda"": 3.0, ""model__subsample"": 1.0}"
XGBoost weighted,18,0.34093362163901164,0.0482303572633181,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,19,0.34050344386033726,0.050648933473872414,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 100, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,20,0.33956475305598466,0.037983578563835524,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.75}"
XGBoost weighted,21,0.3389036249140311,0.03647503786710574,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0}"
XGBoost weighted,22,0.33790895180320857,0.03638354914093606,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 100, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
XGBoost weighted,23,0.337524669891898,0.04861843788263192,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 100, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}"
XGBoost weighted,24,0.33651876651855683,0.028444652014465846,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 100, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0}"
XGBoost weighted,25,0.33643258887828764,0.030552936105668033,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 10.0, ""model__subsample"": 1.0}"
XGBoost weighted,26,0.33612706371486833,0.02997880390326861,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.85}"
XGBoost weighted,27,0.33582372501295316,0.04428543358903578,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.75}"
XGBoost weighted,28,0.33483225304001335,0.026761612591291017,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,29,0.33216599694297344,0.02610257586548338,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0}"
XGBoost weighted,30,0.33064089674462943,0.03945893370885589,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.75}"
XGBoost weighted,31,0.32784592135118273,0.03349695405359502,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 200, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}"
XGBoost weighted,32,0.32447345739345806,0.030763860277008715,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,33,0.3238981955221254,0.025156643072001206,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,34,0.3169120829967002,0.02559235793011036,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_lambda"": 3.0, ""model__subsample"": 1.0}"
XGBoost weighted,35,0.31558733814104434,0.025312239187241882,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
XGBoost weighted,36,0.31260447317734297,0.028515022266365018,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,37,0.3034469783136574,0.022956312783237478,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 200, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.85}"
XGBoost weighted,38,0.29814833108206135,0.021352644432088067,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.75}"
XGBoost weighted,39,0.29710447314527466,0.010082395193269115,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.85}"
XGBoost weighted,40,0.2946637248863507,0.020630718314738762,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
