household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,Discount_Per_Transaction,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,has_demographic_info,Primary_Store_ID,is_treated_x,treatment_source_x,treatment_cutoff_day_x,is_treated_y,propensity_score,propensity_logit,common_support_flag,treatment_source_y,treatment_cutoff_day_y,p_churn_calibrated,predicted_discounted_value_60d_if_active,risk_decile,priority_segment,risk_rank
1280,0,8,91.91,1.3128285,543,83,0.152854511970534,0.0890909090909091,0.0,5.625,0.0,65.71428571428571,81.55716662912849,1.2410871294082615,0.328125,0.677419245577541,0.3548386524453786,-0.5000000000000002,0.0,0.0,651.0,0.0,0.0,0.0,0,595,0,Light/No_Promo_User,651,0,0.1047253972145229,-2.1457888302151056,True,Light/No_Promo_User,651,0.2756244273950256,57.15349019707364,1,High Risk - Low Value,134
1281,0,25,457.53,2.046068,556,2,0.0035971223021582,0.2113676731793961,0.0,7.44,0.0,27.7,41.59086438149608,1.5014747063808311,0.2112068965517241,0.5695651926276003,0.21304346899811,1.9999999999999996,0.0,0.0,651.0,0.0,0.0,0.0,0,360,0,Light/No_Promo_User,651,0,0.188743772368623,-1.4581935510647517,True,Light/No_Promo_User,651,0.0509947867927287,78.2387687980199,10,Low Risk - Low Value,2479
1282,1,186,5110.54,2.7401938,560,1,0.0017857142857142,0.8148148148148148,0.0161290322580645,10.46774193548387,0.0134408602150537,3.802721088435374,4.3958876420356265,1.1559817246620785,0.3056618209640397,0.5991577312436533,0.1780245016155264,1.0,6.0,1.0,27.0,2.0,3.0,1.0,0,381,0,Light/No_Promo_User,651,0,0.2675924048068423,-1.0068722378105412,True,Light/No_Promo_User,651,0.0891815597704271,444.9327392071563,7,Low Risk - High Value,1727
1283,0,42,283.9,0.934457,533,20,0.0375234521575985,0.4407407407407407,0.0714285714285714,4.190476190476191,0.0488095226741972,13.153846153846152,12.60229398820636,0.958068405250234,0.2941176470588235,0.5643564077051283,0.1138613805019118,-1.5000000000000009,0.0,0.0,651.0,0.0,0.0,0.0,0,374,1,Heavy_Promo_User,651,1,0.174097894002026,-1.55685850054013,True,Heavy_Promo_User,651,0.1593489487996391,57.94855902579848,2,High Risk - Low Value,449
1284,0,137,1671.21,1.7829949,641,2,0.0031201248049922,0.5833333333333334,0.0,5.583941605839416,0.0,5.605263157894737,10.907185600224544,1.9458794055134203,0.3413043478260869,0.5588235233243625,0.1437908481068535,0.499999999999998,2.0,0.0,120.0,1.0,0.0,1.0,0,446,0,Light/No_Promo_User,651,0,0.1227750164547703,-1.966409951202785,True,Light/No_Promo_User,651,0.0836140512906769,205.1605619625164,8,Low Risk - Low Value,1955
1285,0,120,4300.16,2.2005808,575,6,0.0104347826086956,0.865979381443299,0.1333333333333333,16.3,0.2512500127156575,5.268518518518518,3.529863203199058,0.6699903380596366,0.1809280544912729,0.4639965894162906,0.1908819761786025,-1.000000000000002,2.0,0.0,64.0,2.0,0.0,0.0,1,295,1,Heavy_Promo_User,651,1,0.5430444371070724,0.1726050032702008,True,Heavy_Promo_User,651,0.1095391547910606,348.0734106023904,5,Low Risk - High Value,1003
1286,1,28,567.66,5.5085955,599,43,0.0717863105175292,0.2425742574257425,0.0,6.357142857142857,0.0,23.166666666666668,30.815956717353387,1.3301846078636248,0.3050847457627119,0.6367521095405081,0.1880341799985393,-0.5000000000000002,0.0,0.0,651.0,0.0,0.0,0.0,0,443,0,Light/No_Promo_User,651,0,0.1902059047572964,-1.4486728173268055,True,Light/No_Promo_User,651,0.1214598273447454,54.06591157201158,4,Low Risk - Low Value,798
1287,0,150,2627.75,1.2580543,648,4,0.0061728395061728,0.7694656488549618,0.1066666666666666,9.426666666666666,0.1069999949137369,7.076923076923077,3.924936713518856,0.5546098388746312,0.1605886116442738,0.3613068522658113,0.1537475967088558,-0.5000000000000013,5.0,1.0,27.0,3.0,2.0,0.0,0,396,1,Heavy_Promo_User,651,1,0.221930480395732,-1.2544516955445602,True,Heavy_Promo_User,651,0.0865989821107603,201.2313615149069,8,Low Risk - Low Value,1850
1288,0,47,1791.64,2.7682855,594,5,0.0084175084175084,0.3843594009983361,0.0,11.659574468085106,0.0,15.102564102564102,16.73287792875683,1.1079487387461942,0.3861635220125786,0.6090794374643198,0.1576292540021531,-1.0000000000000009,2.0,0.0,64.0,2.0,0.0,0.0,0,446,0,Light/No_Promo_User,651,0,0.2945892499758099,-0.8731982441760134,True,Light/No_Promo_User,651,0.1053593862661691,179.07601329499713,5,Low Risk - Low Value,1106
1289,0,462,1370.38,2.4311163,648,1,0.0015432098765432,0.9511450381679388,0.0021645021645021,1.5844155844155845,0.0054112554112554,1.8862973760932944,1.9694788084175876,1.0440921948238089,0.1188235294117647,0.6674528223177734,0.1308962248715068,-4.500000000000006,3.0,0.0,64.0,2.0,1.0,0.0,0,31782,0,Light/No_Promo_User,651,0,0.051144453262985,-2.9206025248187,False,Light/No_Promo_User,651,0.1039469227843528,120.38982365187503,5,Low Risk - Low Value,1144
129,0,39,456.04,1.6386416,536,22,0.0410447761194029,0.3996316758747698,0.0256410256410256,6.256410256410256,0.0256410256410256,13.891891891891891,10.818666440164586,0.7787750391815665,0.4752475247524752,0.5448504802375256,0.1428571381110585,-0.5000000000000006,0.0,0.0,651.0,0.0,0.0,0.0,0,362,0,Light/No_Promo_User,651,0,0.2221505552438633,-1.2531776609257044,True,Light/No_Promo_User,651,0.1602953918353553,58.640533088854,2,High Risk - Low Value,436
